№,Время последней сделки,Название,Тикер,"Цена, посл","Изм, %","Объем, млн руб","1 нед, %","1 м, %","ytd, %","ytd, %",Капит-я млрд руб,Капит-я млрд $,ИзмОбъема
1,18:39:58,Сбербанк,SBER,123.99,+0.21%,4 518.61,+5.0%,-0.9%,-57.7%,-57.7%,2 792.59,49.24,-10%
2,18:39:58,ГАЗПРОМ ао,GAZP,315.23,-0.56%,4 052.57,+2.0%,+18.7%,-8.1%,-8.1%,7 468.99,131.70,-34%
3,18:39:56,ЛУКОЙЛ,LKOH,4184,-1.82%,2 103.90,+7.7%,-6.8%,-36.2%,-36.2%,2 897.56,51.09,-45%
4,18:39:55,Новатэк ао,NVTK,875.8,-1.28%,1 048.70,+9.5%,-12.6%,-49.1%,-49.1%,2 659.20,46.89,-48%
5,18:39:56,Роснефть,ROSN,380,-0.78%,862.36,+2.8%,-5.9%,-36.5%,-36.5%,4 074.47,71.85,-49%
6,18:39:58,ГМКНорНик,GMKN,19148,-1.15%,718.98,-1.8%,-10.7%,-16.1%,-16.1%,2 949.25,52.01,-37%
7,18:39:57,ВТБ ао,VTBR,0.01798,+1.04%,684.83,+5.8%,-6.6%,-62.7%,-62.7%,754.46,13.30,+40%
8,18:39:53,Yandex clA,YNDX,1465,+0.6%,669.38,+4.6%,-14.6%,-67.5%,-67.5%,474.37,8.36,+17%
9,18:39:57,ИнтерРАОао,IRAO,3.4415,+4.51%,535.53,+10.2%,+23.8%,-19.6%,-19.6%,359.66,6.34,+118%
10,18:39:56,Акрон,AKRN,16400,+3.69%,518.48,+15.7%,-10.4%,+32.9%,+32.9%,660.87,11.65,+122%
11,18:39:56,СевСт-ао,CHMF,739.6,-0.24%,503.30,+3.2%,-35.7%,-53.9%,-53.9%,615.72,10.86,+13%
12,18:39:56,Сбербанк-п,SBERP,118.43,+0.89%,500.65,+3.8%,-3.2%,-57.5%,-57.5%,2 792.59,49.24,-18%
13,18:39:58,ФосАгро ао,PHOR,7555,-1.5%,483.73,+4.1%,-4.9%,+29.4%,+29.4%,976.82,17.22,-33%
14,18:39:51,ЭнелРос ао,ENRU,0.4918,-11.83%,481.39,-1.3%,+2.5%,-42.9%,-42.9%,17.49,0.31,+308%
15,18:39:58,Полюс,PLZL,10236,-0.09%,402.13,+0.8%,-17.2%,-21.4%,-21.4%,1 408.39,24.83,+42%
16,18:39:55,Аэрофлот,AFLT,27.52,+2.46%,401.30,+5.2%,-8.4%,-53.3%,-53.3%,67.27,1.19,+47%
17,18:39:50,TCS-гдр,TCSG,1673.5,-3.66%,397.51,-1.9%,-30.3%,-72.4%,-72.4%,333.53,5.88,+30%
18,18:39:56,Юнипро ао,UPRO,1.419,-4.77%,386.90,+11.4%,+1.5%,-45.7%,-45.7%,89.47,1.58,+195%
19,18:39:55,ММК,MAGN,33.245,+0.14%,347.62,+7.6%,-27.3%,-52.1%,-52.1%,371.83,6.56,-22%
20,18:39:48,МКБ ао,CBOM,5.253,-0.68%,315.80,+1.8%,-9.8%,-23.3%,-23.3%,175.47,3.09,-14%
21,18:39:46,Магнит ао,MGNT,4319,-1.68%,302.00,+2.7%,-12.1%,-20.7%,-20.7%,440.16,7.76,-38%
22,18:39:58,АЛРОСА ао,ALRS,68.21,+0.31%,240.06,+0.4%,-11.6%,-44.3%,-44.3%,500.08,8.82,-17%
23,18:39:57,Самолет ао,SMLT,2339,+1.61%,225.59,+2.1%,-3.5%,-52.1%,-52.1%,142.74,2.52,+211%
24,18:39:56,ПИК ао,PIKK,578.3,+3.42%,224.78,+4.0%,-3.1%,-47.8%,-47.8%,381.97,6.74,+99%
25,18:39:48,Татнфт 3ао,TATN,434.1,-1.34%,220.23,+2.9%,+6.7%,-13.1%,-13.1%,996.82,17.58,-44%
26,18:39:51,МТС-ао,MTSS,274.7,-0.85%,220.08,+0.2%,+12.5%,-7.9%,-7.9%,548.96,9.68,+18%
27,18:39:56,VK-гдр,VKCO,308,-1.79%,196.54,+10.2%,-17.8%,-64.6%,-64.6%,69.65,1.23,-46%
28,18:39:32,Газпрнефть,SIBN,447.95,+1.12%,184.04,+5.6%,+3.8%,-17.5%,-17.5%,2 105.14,37.12,+36%
29,18:39:57,Сургнфгз,SNGS,22.8,-0.98%,182.77,+4.1%,-3.0%,-42.6%,-42.6%,1 086.61,19.16,-74%
30,18:39:54,ОГК-2 ао,OGKB,0.6789,-1.08%,161.93,+6.0%,+46.9%,+7.0%,+7.0%,74.85,1.32,+10%
31,18:39:55,НЛМК ао,NLMK,131.5,+0.38%,150.85,+1.5%,-18.4%,-39.6%,-39.6%,779.84,13.75,-45%
32,18:39:55,МосБиржа,MOEX,86.13,-1.1%,148.09,+0.4%,-5.4%,-43.7%,-43.7%,195.88,3.45,-31%
33,18:39:58,Селигдар,SELG,52.03,+0.37%,146.65,+4.6%,+5.9%,-9.8%,-9.8%,51.64,0.91,+55%
34,18:39:47,Сургнфгз-п,SNGSP,35.81,-0.42%,140.90,+0.9%,+7.5%,-6.8%,-6.8%,1 086.61,19.16,-60%
35,18:39:57,Сегежа,SGZH,8.283,+0.39%,140.33,+1.0%,-9.0%,-25.3%,-25.3%,129.98,2.29,-21%
36,18:39:57,Polymetal,POLY,475.5,+0.15%,129.63,+4.3%,-26.1%,-63.7%,-63.7%,225.11,3.97,-6%
37,18:39:52,Распадская,RASP,281,-2.12%,127.22,-6.1%,-26.8%,-40.1%,-40.1%,187.07,3.30,-39%
38,18:39:51,Татнфт 3ап,TATNP,391.8,+0.69%,122.83,+7.7%,+7.4%,-14.8%,-14.8%,996.82,17.58,-14%
39,18:39:43,OZON-адр,OZON,851,-3.3%,121.74,+9.7%,-12.1%,-62.7%,-62.7%,184.17,3.25,+28%
40,18:39:57,РУСАЛ ао,RUAL,56.56,-1.21%,112.65,-2.5%,-11.7%,-23.4%,-23.4%,859.32,15.15,+2%
41,18:39:53,Система ао,AFKS,12.549,-1.15%,109.13,+1.9%,-6.3%,-46.4%,-46.4%,120.70,2.13,-55%
42,18:39:48,Мечел ао,MTLR,119.62,-1.08%,97.05,-1.2%,-12.2%,-2.9%,-2.9%,70.33,1.24,-44%
43,18:39:43,ФСК ЕЭС ао,FEES,0.09114,-0.57%,81.00,+8.0%,-13.7%,-43.9%,-43.9%,116.30,2.05,-30%
44,18:39:55,Башнефт ап,BANEP,852,+0.47%,73.25,+3.9%,+15.3%,-14.5%,-14.5%,192.33,3.39,-2%
45,18:39:57,Ростел -ао,RTKM,59.82,+0.66%,68.56,+3.6%,+0.9%,-31.4%,-31.4%,208.99,3.69,+17%
46,18:39:52,СПБ Биржа,SPBE,207,-0.29%,61.98,+6.7%,-18.7%,-79.0%,-79.0%,27.50,0.48,-60%
47,18:39:38,ЭН+ГРУП ао,ENPG,529,-1.31%,58.68,-4.6%,-20.5%,-40.2%,-40.2%,339.23,5.98,-25%
48,18:39:55,РусГидро,HYDR,0.7856,-0.81%,50.49,-1.2%,-1.8%,+5.9%,+5.9%,344.84,6.08,-41%
49,18:39:51,FIVE-гдр,FIVE,827,+0.36%,49.69,+2.6%,-24.2%,-57.6%,-57.6%,224.59,3.96,-3%
50,18:39:56,РСетиЦП ао,MRKP,0.2275,+2.71%,49.11,+9.2%,+14.8%,-1.4%,-1.4%,25.63,0.45,-8%
51,18:39:57,AGRO-гдр,AGRO,860.2,-0.37%,45.25,+6.0%,-9.2%,-26.6%,-26.6%,115.72,2.04,-58%
52,18:39:51,ВСМПО-АВСМ,VSMO,58580,-1.58%,45.07,-1.4%,+2.0%,+25.4%,+25.4%,675.40,11.91,+31%
53,18:39:30,ТГК-1,TGKA,0.009588,-0.21%,44.74,+8.9%,+21.3%,-3.5%,-3.5%,36.89,0.65,-33%
54,18:39:29,Россети ао,RSTI,0.6066,-0.26%,44.57,+4.1%,-14.4%,-45.6%,-45.6%,123.26,2.17,+29%
55,18:39:37,Мечел ап,MTLRP,148,+0.71%,43.35,-3.3%,-20.6%,-52.8%,-52.8%,70.33,1.24,-34%
56,18:39:52,ИРКУТ-3,IRKT,34.52,+0.12%,41.66,+11.2%,+34.1%,+55.4%,+55.4%,71.90,1.27,+13%
57,18:38:29,Транснф ап,TRNFP,128900,-1.23%,40.67,-5.9%,+15.9%,-18.7%,-18.7%,200.42,3.53,-41%
58,18:39:57,ДетскийМир,DSKY,64.96,-0.22%,39.00,-2.3%,-11.5%,-47.9%,-47.9%,48.01,0.85,-31%
59,18:39:52,ЛСР ао,LSRG,499.8,+1.34%,37.06,+3.5%,-0.6%,-18.0%,-18.0%,51.52,0.91,+110%
